DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
Karstification,B.2 Loss|D.1 Abiotic|C. Geome|B. Process|D.1 Abiotic|D.1 Abiotic|B.4 Transformation|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,differential chemical and mechanical erosion|soluble bodies of rock|Earth ’ s surface|geologic process|dolomite|gypsum|Karstification|limestone|water|salt,"Karstification is the geologic process of differential chemical and mechanical erosion by water on soluble bodies of rock, such as limestone, dolomite, gypsum, or salt, at or near the Earth ’ s surface.",,,,,,is the,geologic process,,differential chemical and mechanical erosion by water on soluble bodies of rock,,,at or near the Earth ’ s surface,,,,,,,,,,by,,,,,,at or near,,,,,,,
karst,D.1 Abiotic|B.4 Transformation|D.1 Abiotic|D.1 Abiotic|C. Geome|B.4 Transformation,soluble rocks|chemical solution|surface water|ground water|karst|dissolution,The term karst describes a distinctive topography that indicates dissolution (also called chemical solution) of underlying soluble rocks by surface water or ground water.,,,,,,The term|describes,topography,,indicates dissolution ( also called chemical solution ) of underlying soluble rocks by surface water or ground water,,,,,,,,,,,,,indicates,,,,,,,,,,,,,
karst,B.2 Loss|D.1 Abiotic|C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,dissolving action|soluble bedrock|karst|marble|dolostone|water|limestone|halite|gypsum,"The term karst applies to a distinctive type of landscape that develops from the dissolving action of water on soluble bedrock, primarily limestone and marble but also dolostone, gypsum and halite.",,,,,,applies to|The term,type of landscape,,"distinctive type of landscape that develops from the dissolving action of water on soluble bedrock , primarily limestone and marble but also dolostone , gypsum and halite",,,,,,,,,,,,,develops from,,,,,,,,,,,,,
Karst,B.2 Loss|A.1 Surface landform|A.3 Hydrological form|A.1 Surface landform|C. Geome|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,dissolving of rock|closed depressions|sinking streams|sinkholes|Karst|limestone|caves|dolomite,"Karst is defined as a terrain, generally underlain by limestone or dolomite, in which the topography is chiefly formed by the dissolving of rock, and which may be characterised by sinkholes, sinking streams, closed depressions, subterranean drainage and caves (Field 2002). underlain by limestone or dolomite",,,", underlain by limestone or dolomite","characterised by sinkholes , sinking streams , closed depressions , subterranean drainage and caves",,is defined as a,terrain,,formed by the dissolving of rock,,,"terrain , generally underlain by limestone or dolomite",,,,,,,,,,formed by,,characterised by,,,,underlain by,,,,,,,
Karst,D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic|D.1 Abiotic,soluble rock|gypsum|Karst|dolomite|limestone,"Karst is the term applied to terrains underlain by soluble rock: mainly limestone, dolomite and gypsum.",,,,,,is the term applied to,terrains,,,,,terrains underlain by soluble rock,,,,,,,,,,,,,,,,underlain by,,,,,,,
Clastic sediments,D.1 Abiotic|A.1 Surface landform,solid contaminants|clastic sediment,"Clastic sediments are an important part of the mechanism for storage and transport of contaminants; indeed, solid contaminants can be considered as a form of clastic sediment.",,,,,,are an,,,,,important part of the mechanism for storage and transport of contaminants,,,,,,,,,,,,,,,,important part of the mechanism,,,,,,,,
epiphreatic zone,C. Geome|D.1 Abiotic|D.3 Property,epiphreatic zone|water table|depths,The epiphreatic zone is the range of depths between the highest and lowest levels that the water table fluctuates between.,,,,,,is the,,,,,,,,,between the highest and lowest levels that the water table fluctuates between,,,,,,,,,,,,,,,,,,between,,
Specific karstic ablation,D.3 Property|D.1 Abiotic|D.3 Property|D.1 Abiotic,Specific karstic ablation|surface area|volume|limestone,Specific karstic ablation is the relationship between the volume of limestone taken out of the system and the surface area of the affected region.,,,,,relationship between the volume of limestone taken out of the system and the surface area of the affected region,is the,,,,,,,,,,,,,,,,,,,relationship between the,,,,,,,,,,
Poljes,B. Process|C. Geome|A.1 Surface landform|A.1 Surface landform,large-scale agriculture|karst|Poljes|dolines,"Poljes are an important component of karst, where, aside from the bottoms of major dolines, they are one of the rare formations that can support large-scale agriculture.",,,,,,are an,karst,,,,they are one of the rare formations that can support large-scale agriculture,,,,,,,,,,,,,,,,,,,,,,,,
blind valley,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,blind valley|stream|gorge,A blind valley is a gorge that terminates abruptly at a point where the stream sinks.,,,,,,is a,gorge,,,that terminates abruptly,,at a point where the stream sinks,,,,,,,,,,,,,,terminates,,at a point where,,,,,,,
Ghost rock karstification,B. Process|D.1 Abiotic,Ghost rock karstification|granites,"Ghost rock karstification is an intermediate phenomenon, between karstification stricto sensu and the alteration of fractured rock, for example like in granites, where the action of water occurs only as it filters in through fractures.",,,for example like in granites,,,is an,phenomenon,,where the action of water occurs only as it filters in through fractures,intermediate,,,,,,,,,,,,,in,,,,,,,,,,,,
Dolines,D.1 Abiotic|D.1 Abiotic|A.1 Surface landform,underground water|precipitation water|Dolines,Dolines are a sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water.,,,,,,are a,,,sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water,,,,,,,,,,,,,a sign of the,,,,,,,,,,,,,
unroofed caves,C. Geome|A.2 Underground landform|D.3 Property|D.3 Property|D.3 Property|D.3 Property|A.2 Underground landform,karst aquifer|unroofed caves|hydrological conditions|climate|geological|geomorphological|cave,"The shape of unroofed caves is the consequence of the type and shape of the cave and the development of the karst aquifer and its surface in various geological, geomorphological, climate, and hydrological conditions. various geological, geomorphological, climate, and hydrological conditions",,,"various geological , geomorphological , climate , and hydrological conditions",,,,,,is the consequence of the type and shape of the cave,,,,,,,,,"in various geological , geomorphological , climate , and hydrological conditions",,,,is the consequence of,,,,,,,,,,,,,
Karst waters,A.3 Hydrological form|C. Geome,Karst waters|ecosystem,"Karst waters are an essential part of the ecosystem, a natural source and a public and economic good.",,,,,,are an,,,,,natural source and a public and economic good,,,,,,,,,,,,,,,,,,,,,,,,
lakes,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.3.1 Geolocation|A.3 Hydrological form,karst poljes|outflowing water|inflowing|volumes|Slovenia|lakes,"In Slovenia, the formation of lakes on the majority of larger karst poljes is the consequence of the difference in the volumes of inflowing and outflowing water.",,,,,,,,,is the consequence of the difference in the volumes of inflowing and outflowing water,,,on the majority of larger karst poljes,,,,,,,,,,is the consequence of the,,,,,,on the majority of,,,,,,,
Karst poljes,A.1 Surface landform|D.1 Abiotic,Karst poljes|river basins,Karst poljes are natural retainers of discharge surpluses and important regulators of water conditions in rivers in the lower parts of river basins.,,,,,,are,,,natural,,important regulators of water conditions|retainers of discharge surpluses,in rivers in the lower parts of river basins,,,,,,,,,,,,,,,,in,,,,,,,
closed depressions,A.1 Surface landform|B.1 Movement,closed depressions|collapse,"The oldest explanation of formation of closed depressions on karstic surfaces is a sudden collapse (Cviji �, 1893), according to which the term � collapse doline � was coined.",,,,,,,,,,,,on karstic surfaces,,,,,,,,,,,,,,,,on,,,,,,,
Equipotential surfaces,D.1 Abiotic|E.1 Instrument|D.1 Abiotic,Equipotential surfaces|piezometers|locations,"Equipotential surfaces are locations of equal hydraulic head, which can be measured at piezometers.",,,,,,are,,,,,,,,,of equal hydraulic head,which can be measured at piezometers,,,,,,,,,,,,,can be measured,,,,,,
Collapse dolines,D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|B.1 Movement|D.1 Abiotic,underground cavities|Collapse dolines|depressions|collapsing|slopes,Collapse dolines are large depressions that were formed with slow collapsing of roofs above larger underground cavities and afterwards with transformation of slopes.,,,,,,are,depressions,,that were formed with slow collapsing of roofs|afterwards with transformation of slopes,,,above larger underground cavities,,,large,,,,,,,were formed with,,,,,,above,,,,,,,
Caves,C. Geome|C. Geome|C. Geome|A.2 Underground landform,karst terrains|aquatic ecosystems|terrestrial|Caves,"Caves are an important part of both the terrestrial and aquatic ecosystems in karst terrains, but are not the only components.",,,,,,are an,,,,,,in karst terrains,,,,,,,,,,,,,,,,in,,,,,,,
bowlshaped doline,A.1 Surface landform|B.4 Transformation,bowlshaped doline|dissolution,"In instances where dissolution is the prevailing mechanism, a bowlshaped doline will probably form.",,,,,,,,,"In instances where dissolution is the prevailing mechanism , a bowlshaped doline will probably form",,,,,,,,,,,,,,,,,,,,,,,,,,
point-recharge doline,A.1 Surface landform|D.1 Abiotic|C. Geome,point-recharge doline|surface streams|karst subsurface,The first type is a point-recharge doline which is strongly connected to outflow of surface streams into karst subsurface.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inception doline,A.1 Surface landform|D.3 Property|B.1 Movement|D.1 Abiotic,inception doline|hydraulic conductivity|centripetal convergence|water,The third type is an inception doline that also originates from the centripetal convergence of water; this occurs inside a pre-existing hydrogeological structure and is triggered by a change of hydraulic conductivity due to lithological and structural factors.,,,,,,,,,is triggered by a change of hydraulic conductivity due to lithological and structural factors .|that also originates from the centripetal convergence of water,,,this occurs inside a pre-existing hydrogeological structure,,,,,,,,,,is triggered by|originates from,,,,,,occurs inside a,,,,,,,
active cave,A.2 Underground landform|A.2 Underground landform|B.1 Movement|A.3 Hydrological form,active cave|cave|flowing|stream,active cave - a cave which has a stream flowing in it.,,,,has a stream flowing in it,,,cave,,,,,,,,,,,,,,,,,has a,,,,,,,,,,,
aeolian calcarenite,D.1 Abiotic|D.2 Biotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.1 Movement|B.4 Transformation|D.1 Abiotic,calcareous sand|mollusc shells|dune sands|aeolian calcarenite|calcium carbonate|redeposition|solution|limestone,aeolian calcarenite - a limestone formed on land by solution and redeposition of calcium carbonate in coastal dune sands containing a large proportion of calcareous sand from mollusc shells and other organic remains.,,,,containing a large proportion of calcareous sand from mollusc shells and other organic remains,,,limestone,,,,,in coastal dune sands|on land,,,,,,,,,,by,,containing a,,,,in coastal|on,,,,,,,
aragonite,D.1 Abiotic|D.3 Property|D.3 Property|D.1 Abiotic|D.1 Abiotic,calcium carbonate|denser|orthorhombic|aragonite|calcite,"aragonite - a less common crystalline form of calcium carbonate than calcite, denser and orthorhombic.",,,of calcium carbonate,,,,calcium carbonate,,,denser and orthorhombic|crystalline form,,,,,,,,,,,,,,,,form|of,,,,,,,,,
bare karst,C. Geome|D.1 Abiotic|C. Geome,bare karst|bedrock|karst,bare karst - karst with much exposed bedrock.,,,,with much exposed bedrock,,,karst,,,,,,,,,,,,,,,,,with,,,,,,,,,,,
bathyphreatic,C. Geome|B.1 Movement|D.3 Property|D.1 Abiotic|D.1 Abiotic,phreatic zone|moving|bathyphreatic|water|passages,bathyphreatic - referring to water moving with some speed through downward looping passages in the phreatic zone.,,,,,,,,referring to water moving with some speed,,,,through downward looping passages|in the phreatic zone,,,,,,,,,referring to,,,,,,,in the|through,,,,,,,
bed,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,depositional layer|bedrock|sediment|bed,bed - a depositional layer of sedimentary bedrock or. unconsolidated sediment.,,,of sedimentary bedrock or . unconsolidated sediment,,,,layer,,,,,,,,,,,,,,,,of,,,,,,,,,,,,
bedding-grike,D.1 Abiotic|B.2 Loss|D.1 Abiotic,karst rock|solution|bedding-plane,"bedding-grike - a narrow, rectilinear slot in a karst rock outcrop as a result of solution along a bedding-plane. along a bedding-plane",,,,,,,slot in a karst rock outcrop,,as a result of solution along a bedding-plane,narrow|rectilinear,,along a bedding-plane,,,,,,,,,,as a result of,,,,,,along a,,,,,,,
bedding plane,D.1 Abiotic|D.1 Abiotic,bedding plane|beds,"bedding plane - a surface separating two beds, usually planar. planar",,,,,,,surface,,,planar,"separating two beds , usually planar",,,,,,,,,,,,,,,,,,,,,,,,
bedding-plane cave,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,bedding-plane cave|a cavity|bedding-plane,bedding-plane cave - a cavity developed along a bedding-plane and elongate in cross-section as a result.,,,,,,,cavity,,,elongate in cross-section,,developed along a bedding-plane,,,,,,,,,,,,,,,,along a,,,,,,,
biospeleology,E.2 Method|A.2 Underground landform|D.2 Biotic|E.2 Method,scientific study|caves|organisms|biospeleology,biospeleology - the scientific study of organisms living in caves.,,,,,,,study,,,,,,,,,,,,,organisms living in caves,,,,,,,,,,,,,,study of,
blind shaft,A.2 Underground landform,cave,blind shaft - a vertical extension upwards from part of a cave but not reaching the surface; small in area in relation to its height.,,,,,,,cave,,,not reaching the surface|vertical extension upwards,,,,,small in area in relation to its height,,,,,,,,,,,,,,,,,,small,,
